Date,Weight,Last Updated,Deleted
07/16/2020,162.0,2020-07-16T17:51:38-0800,false
07/17/2020,161.8,2020-07-17T08:19:05-0800,false
07/18/2020,162.0,2020-07-18T17:20:12-0800,false
07/21/2020,161.0,2020-07-21T07:45:34-0800,false
07/22/2020,161.0,2020-07-22T08:26:40-0800,false
07/23/2020,160.8,2020-07-23T08:39:36-0800,false
09/29/2020,163.6,2020-09-29T14:33:18-0800,false
10/01/2020,163.4,2020-10-01T15:53:03-0800,false
10/03/2020,163.4,2020-10-03T15:22:10-0800,false
10/06/2020,161.8,2020-10-06T15:15:51-0800,false
10/07/2020,162.6,2020-10-07T13:44:41-0800,false
10/09/2020,162.0,2020-10-09T07:53:01-0800,false
10/12/2020,159.2,2020-10-12T17:16:49-0800,false
10/13/2020,161.0,2020-10-13T14:15:51-0800,false
10/14/2020,161.0,2020-10-14T15:55:30-0800,false
10/15/2020,160.2,2020-10-15T08:24:46-0800,false
10/16/2020,160.4,2020-10-16T17:10:32-0800,false
10/17/2020,159.8,2020-10-17T09:56:11-0800,false
10/18/2020,158.8,2020-10-18T10:01:39-0800,false
10/19/2020,159.0,2020-10-19T08:18:16-0800,false
10/20/2020,158.6,2020-10-20T08:19:36-0800,false
10/21/2020,158.0,2020-10-21T07:52:57-0800,false
10/22/2020,158.8,2020-10-22T08:17:22-0800,false
10/23/2020,158.8,2020-10-23T08:20:21-0800,false
10/24/2020,158.8,2020-10-24T09:57:45-0800,false
10/25/2020,158.6,2020-10-25T09:32:05-0800,false
10/26/2020,157.8,2020-10-26T14:22:28-0800,false
10/27/2020,157.6,2020-10-27T15:40:47-0800,false
10/28/2020,157.4,2020-10-28T08:05:09-0800,false
10/29/2020,158.0,2020-10-29T08:28:00-0800,false
10/30/2020,157.6,2020-10-30T07:43:41-0800,false
10/31/2020,158.0,2021-09-19T12:55:30-0800,false
11/05/2020,158.2,2021-09-19T12:55:30-0800,false
11/07/2020,159.8,2021-09-19T12:55:30-0800,false
11/11/2020,157.0,2021-09-19T12:55:31-0800,false
11/12/2020,157.8,2021-09-19T12:55:31-0800,false
11/13/2020,157.6,2021-09-19T12:55:31-0800,false
11/15/2020,158.8,2021-09-19T12:55:31-0800,false
01/16/2021,162.6,2021-09-19T12:55:31-0800,false
09/19/2021,166.6,2021-09-19T12:57:02-0800,false
09/20/2021,164.6,2021-09-20T11:47:55-0800,false
09/21/2021,165.0,2021-09-21T14:39:48-0800,false
09/22/2021,163.8,2021-09-22T07:09:19-0800,false
09/23/2021,163.2,2021-09-23T16:21:52-0800,false
09/24/2021,163.2,2021-09-24T07:23:20-0800,false
09/25/2021,163.2,2021-09-25T10:14:48-0800,false
09/26/2021,163.4,2021-09-26T10:37:11-0800,false
09/27/2021,161.0,2021-09-27T16:51:33-0800,false
09/28/2021,161.0,2021-09-28T16:07:46-0800,false
09/29/2021,161.8,2021-09-29T16:18:39-0800,false
09/30/2021,161.0,2021-09-30T15:21:25-0800,false
10/01/2021,161.4,2021-10-01T07:24:24-0800,false
10/02/2021,163.0,2021-10-02T19:16:17-0800,false
10/03/2021,162.6,2021-10-03T09:38:42-0800,false
10/04/2021,161.6,2021-10-04T16:09:16-0800,false
10/05/2021,161.2,2021-10-05T17:18:18-0800,false
10/06/2021,160.2,2021-10-06T07:31:48-0800,false
10/07/2021,161.4,2021-10-07T07:14:40-0800,false
10/09/2021,161.0,2021-10-09T09:41:34-0800,false
10/10/2021,161.4,2021-10-10T09:23:41-0800,false
10/11/2021,159.6,2021-10-11T10:43:05-0800,false
10/12/2021,158.6,2021-10-12T17:22:27-0800,false
10/13/2021,159.0,2021-10-13T07:46:21-0800,false
10/14/2021,158.0,2021-10-14T17:53:08-0800,false
10/15/2021,158.2,2021-10-15T16:08:56-0800,false
10/16/2021,157.8,2021-10-16T09:12:31-0800,false
10/17/2021,159.2,2021-10-17T09:28:29-0800,false
10/18/2021,157.8,2021-10-18T16:04:57-0800,false
10/19/2021,157.2,2021-10-19T15:46:03-0800,false
10/20/2021,157.8,2021-10-20T16:55:03-0800,false
10/21/2021,157.4,2021-10-21T13:45:57-0800,false
10/22/2021,156.6,2021-10-22T07:30:23-0800,false
10/23/2021,159.4,2021-10-23T17:12:58-0800,false
10/24/2021,158.6,2021-10-24T18:13:10-0800,false
10/25/2021,156.6,2021-10-25T16:28:17-0800,false
10/26/2021,156.0,2021-10-26T16:33:12-0800,false
10/27/2021,156.9,2021-10-27T16:38:05-0800,false
10/28/2021,157.0,2021-10-28T16:15:07-0800,false
10/29/2021,157.2,2021-10-29T10:55:31-0800,false
10/30/2021,157.0,2021-10-30T09:46:31-0800,false
11/06/2021,157.7,2021-12-31T14:13:59-0800,false
11/18/2021,158.3,2021-12-31T14:13:59-0800,false
01/09/2022,164.6,2022-01-10T12:13:53-0800,false
01/10/2022,162.5,2022-01-10T12:14:06-0800,false
01/11/2022,163.9,2022-01-11T18:05:50-0800,false
01/12/2022,162.8,2022-03-04T17:14:24-0800,false
03/04/2022,164.4,2022-03-04T17:14:33-0800,false
05/16/2022,166.6,2022-06-12T20:48:56-0800,false
06/07/2022,166.1,2022-06-07T08:11:54-0800,false
06/12/2022,166.6,2022-06-12T20:49:07-0800,false
06/13/2022,163.3,2022-06-13T17:24:03-0800,false
06/14/2022,164.1,2022-06-14T17:07:49-0800,false
06/16/2022,165.4,2022-06-16T16:26:36-0800,false
06/17/2022,163.4,2022-06-17T17:42:12-0800,false
06/18/2022,165.0,2022-06-18T16:48:57-0800,false
06/19/2022,163.4,2022-06-19T09:18:18-0800,false
06/20/2022,163.0,2022-06-20T17:23:00-0800,false
06/21/2022,162.0,2022-06-21T17:47:26-0800,false
06/22/2022,162.0,2022-06-22T16:51:37-0800,false
06/23/2022,161.5,2022-06-23T17:31:39-0800,false
06/25/2022,161.5,2022-06-25T09:12:23-0800,false
06/26/2022,162.9,2022-06-27T18:08:28-0800,false
06/27/2022,162.9,2022-06-27T17:18:06-0800,false
06/28/2022,160.7,2022-06-28T17:25:20-0800,false
06/29/2022,160.7,2022-06-29T16:55:27-0800,false
